date,price,ma20,margin_amount_100m,margin_pct,zone,hot,low_or_depressed,below_ma20_3w,above_ma20,reentry_armed,position,shares,cash,equity,event
2020-03-08,146.9076824738089,151.59473072512938,1365.4827,0.5384615384615384,neutral,False,False,False,False,False,HOLD,29828.38546609756,0.0,4382018.980759837,
2020-03-15,134.68616050230358,151.1785815887127,1151.34379,0.009615384615384616,depressed,False,True,True,False,False,HOLD,29828.38546609756,0.0,4017470.7124113953,
2020-03-22,123.04661576753661,150.07577509945423,922.2145,0.009615384615384616,depressed,False,True,True,False,False,HOLD,29828.38546609756,0.0,3670281.8854128798,
2020-03-29,127.36987524045004,148.99184982656936,905.97443,0.009615384615384616,depressed,False,True,True,False,False,HOLD,29828.38546609756,0.0,3799237.7354408996,
2020-04-05,126.20592076697336,147.86985762156908,919.65082,0.019230769230769232,depressed,False,True,True,False,False,HOLD,29828.38546609756,0.0,3764518.852741048,
2020-04-12,131.85941392386016,147.01040928285474,957.42704,0.038461538461538464,depressed,False,True,True,False,False,HOLD,29828.38546609756,0.0,3933153.4258546126,
2020-04-19,138.42744273847867,146.5639117094165,983.51065,0.04807692307692308,depressed,False,True,True,False,False,HOLD,29828.38546609756,0.0,4129067.1210894897,
2020-04-26,134.5198812918069,145.79722515598277,1042.71364,0.057692307692307696,depressed,False,True,True,False,False,HOLD,29828.38546609756,0.0,4012510.872025702,
2020-05-03,142.16872497465377,145.10296659669254,1044.68367,0.0673076923076923,depressed,False,True,True,False,False,HOLD,29828.38546609756,0.0,4240663.529767584,
2020-05-10,140.25651405394206,144.30907133305507,1101.89579,0.07692307692307693,depressed,False,True,True,False,False,HOLD,29828.38546609756,0.0,4183625.365332113,
2020-05-17,139.4251180014587,143.38905694224826,1111.13214,0.08653846153846154,depressed,False,True,True,False,False,HOLD,29828.38546609756,0.0,4158826.1634036484,
2020-05-24,137.92860510698867,142.4224000148997,1146.60405,0.09615384615384616,depressed,False,True,True,False,False,HOLD,29828.38546609756,0.0,4114187.5999324103,
2020-05-31,140.42279326443875,141.60863560360534,1163.99048,0.11538461538461539,depressed,False,True,True,False,False,HOLD,29828.38546609756,0.0,4188585.205717807,
2020-06-07,146.9076824738089,141.1191156527795,1181.81406,0.1346153846153846,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,4382018.980759837,
2020-06-14,146.74140326331224,140.5890724749354,1168.55485,0.125,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,4377059.140374144,
2020-06-21,147.73907852629225,140.49761890916224,1221.17711,0.19230769230769232,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,4406818.182688301,
2020-06-28,149.651289447004,140.39785138286422,1237.29395,0.2403846153846154,low,False,True,False,True,False,HOLD,29828.38546609756,0.0,4463856.347123773,
2020-07-05,153.8914093146691,140.3645955407649,1271.4516,0.41346153846153844,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4590332.276958946,
2020-07-12,157.3832727350992,140.64727019860925,1326.84802,0.6634615384615384,high,False,False,False,True,False,HOLD,29828.38546609756,0.0,4694488.925058502,
2020-07-19,161.6233926027643,141.35811382348248,1348.43023,0.6730769230769231,high,False,False,False,True,False,HOLD,29828.38546609756,0.0,4820964.854893675,
2020-07-26,164.97494984972911,142.2614771922785,1384.01929,0.75,high,False,False,False,True,False,HOLD,29828.38546609756,0.0,4920936.396367834,
2020-08-02,173.85177456245566,144.21975789528614,1449.18278,0.9038461538461539,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5185717.745614022,
2020-08-09,175.27541626166652,146.8311979199926,1498.92177,0.9134615384615384,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5228182.678983694,
2020-08-16,175.02418537357048,149.21391342664865,1500.03594,0.9230769230769231,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5220688.867212575,
2020-08-23,172.17690197514875,151.5124624870574,1452.78094,0.9134615384615384,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5135759.000473231,
2020-08-30,173.3493127862636,153.5869574301776,1496.78563,0.9230769230769231,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5170730.122071785,
2020-09-06,171.75818382832205,155.25349448466974,1548.37447,0.9615384615384616,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5123269.314188034,
2020-09-13,172.93059463943686,157.17403015205124,1553.44253,0.9711538461538461,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5158240.435786587,
2020-09-20,176.364083443416,158.88379807548935,1573.18117,0.9807692307692307,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5260655.8633252075,
2020-09-27,168.57592591243895,160.2997686684142,1518.66371,0.9519230769230769,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5028347.698420533,
2020-10-04,172.51187649261016,161.95410659297175,1518.53634,0.9519230769230769,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5145750.74950139,
2020-10-11,177.8714687719922,163.95124977622194,1533.33914,0.9711538461538461,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5305618.733951918,
2020-10-18,176.28033981405065,165.74412710370254,1535.43442,0.9711538461538461,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5258157.926068167,
2020-10-25,177.7039815132615,167.28394205567517,1556.86389,0.9903846153846154,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5300622.859437839,
2020-11-01,172.51187649261016,168.5724657171401,1567.32639,0.9903846153846154,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5145750.74950139,
2020-11-08,178.70890506564567,170.12095704410774,1553.22345,0.9615384615384616,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5330598.106522313,
2020-11-15,182.97983016327822,171.78738407992145,1568.53069,0.9903846153846154,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5457992.906631328,
2020-11-22,190.93547495298597,173.6395873618373,1595.99827,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5695296.946050081,
2020-11-29,192.02414213473548,175.37163083181912,1643.5026,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5727770.130391596,
2020-12-06,196.46255449109873,177.11358892623585,1727.90201,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5860160.805014689,
2020-12-13,198.89111974269375,178.80939742088407,1749.71927,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5932600.985468836,
2020-12-20,197.96993981967495,180.01530568374503,1791.23809,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5905123.675641401,
2020-12-27,199.22609426015512,181.21283958366945,1842.61341,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,5942592.734496993,
2021-01-03,204.75317379826785,182.69928900490433,1873.58231,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6107456.5934616,
2021-01-10,219.74328345466455,185.07760807888013,1927.69659,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6554587.362471673,
2021-01-17,225.27036299277734,187.6736605892058,1954.40959,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6719451.221436281,
2021-01-24,235.2283451870137,190.8471686571404,1977.72542,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7016481.7527904995,
2021-01-31,219.39813643488657,193.17054574691286,1981.91951,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6544292.18412326,
